scale,range_low,range_high,level,text
D,0,25,низкий,Осторожность при принятии решений; предпочитает согласование.
D,26,35,средний,Готовность брать ответственность в предсказуемых условиях.
D,36,60,высокий,"Напористость, решительность, стремление к лидерству."
I,0,25,низкий,Сдержанность в контактах; акцент на задачах.
I,26,35,средний,Коммуникабельность по ситуации; работает доверие.
I,36,60,высокий,"Высокая социальная энергия, влияние через общение."
S,0,25,низкий,"Готовность к изменениям, возможна импульсивность."
S,26,35,средний,Стабильность и последовательность при гибкости.
S,36,60,высокий,"Предсказуемость и терпение, сильная командная надёжность."
C,0,25,низкий,Творческий подход без склонности к регламентам.
C,26,35,средний,"Соблюдает правила, если они поддерживают цель."
C,36,60,высокий,"Внимание к качеству и стандартам, аккуратность."
